,index,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind-Speed,Wind-Direction
112,1830,Mattawa,ca,46.32,-78.7,64.4,88,90,13.87,230
113,2168,Hellvik,no,59.92,5.78,55.51,62,0,1.61,298.502
114,2138,Chik,ru,54.99,82.44,46.4,93,76,4.47,50
115,1985,Tyrma,ru,50.04,132.17,46.69,79,68,3.4,142.502
116,1798,Fort-Shevchenko,kz,44.51,50.26,65.32,91,0,2.17,193.502
117,84,Okato,nz,-39.19,173.88,52.18,100,56,17.6,171.502
118,617,Salinas,ec,0.49,-78.13,57.2,71,75,10.29,120
119,1297,Iranshahr,ir,27.21,60.69,89.6,13,0,6.93,300
120,1472,Tripoli,ly,32.88,13.19,69.8,77,5,10.29,90
121,143,Kwinana,au,-32.25,115.77,60.08,77,75,21.92,280
122,789,Grand-Lahou,ci,5.24,-5,78.64,84,64,7.99,217.002
123,988,Sulat,ph,11.81,125.45,82.42,94,88,8.77,90.002
124,2074,Podstepki,ru,53.52,49.14,46.4,61,0,13.42,10
125,130,Sydney,au,-33.85,151.22,45.09,87,20,9.17,320
126,2414,Snezhnogorsk,ru,69.19,33.23,51.8,50,0,4.47,190
127,1987,Vysokogornyy,ru,50.1,139.13,37.51,85,92,4.18,8.50201
128,1671,Dover,us,39.16,-75.52,83.91,48,1,16.11,210
129,2350,Aksarka,ru,66.56,67.8,14.47,79,0,6.76,296.502
130,1861,Baijiantan,cn,45.63,85.18,45.88,47,0,4.52,25.502
131,215,Salta,ar,-24.79,-65.41,68.79,40,0,3.36,360
132,1053,Douentza,ml,15.01,-2.95,81.61,68,88,2.51,211.502
133,594,Kinshasa,cd,-4.32,15.31,78.85,78,8,6.93,260
134,166,Narrabri,au,-30.33,149.78,43.09,86,0,6.2,134.502
135,2329,Myaundzha,ru,63.05,147.18,41.38,76,12,3.62,52.002
136,2181,Igra,ru,57.55,53.1,39.58,57,0,12.68,17.002
137,543,Novo Aripuana,br,-5.12,-60.38,82.69,82,44,2.06,165.002
138,526,Kilindoni,tz,-7.91,39.67,80.89,96,80,12.24,158.002
139,61,Hokitika,nz,-42.72,170.96,46.06,100,24,3.96,249.502
140,1787,Recco,it,44.37,9.15,68,88,0,5.82,260
141,1396,Linqiong,cn,30.42,103.46,78.8,69,40,8.95,60
142,1756,Tyup,kg,42.73,78.36,27.7,83,0,3.62,138.002
143,942,Dinagat,ph,9.96,125.59,82.87,95,76,7.65,84.002
144,1166,Colon,mx,20.8,-100.05,84.2,21,40,4.7,10
145,1194,Son La,vn,21.32,103.9,71.08,94,68,1.61,6.00201
146,226,Khakhea,bw,-24.69,23.5,48.76,36,0,4.07,150.502
147,1092,Saint-Francois,gp,16.25,-61.27,84.2,66,40,16.11,120
148,1973,Semey,kz,50.41,80.25,62.98,56,48,8.99,176.002
149,2005,Haverfordwest,gb,51.8,-4.97,58.21,88,92,8.21,359.502
150,2079,Sergeyevka,kz,53.88,67.42,55.24,98,92,5.19,203.002
151,1458,Truth Or Consequences,us,33.13,-107.25,91.4,4,1,4.7,200
152,2406,Sorland,no,67.67,12.69,46.4,70,75,12.75,260
153,1596,Jiexiu,cn,37.02,111.92,58.48,88,48,3.4,247.002
154,1118,Sawankhalok,th,17.31,99.83,73.78,97,44,2.73,107.002
155,2345,Koslan,ru,63.46,48.9,39.4,76,8,3.06,258.502
156,508,Boca Do Acre,br,-8.76,-67.39,84.67,68,8,2.95,159.502
157,551,Omboue,ga,-1.57,9.26,79.81,100,20,11.56,180.502
158,1238,Pacific Grove,us,36.62,-121.92,63.03,63,75,18.34,220
159,1620,Ocean City,us,30.44,-86.61,82.6,70,40,11.41,180
160,1590,Shache,cn,38.42,77.24,47.86,43,0,6.42,299.002
161,177,Sao Borja,br,-28.66,-56,64.69,76,0,3.18,124.502
162,2119,Dragor,dk,55.59,12.67,60.3,52,0,6.93,70
163,1975,Ust-Koksa,ru,50.27,85.62,34.72,97,88,2.06,187.002
164,124,Richards Bay,za,-28.77,32.06,65.41,100,88,5.19,210.002
165,1914,Balkhash,kz,46.84,74.98,55.51,89,0,1.83,119.502
166,2438,Skjervoy,no,70.03,20.97,48.2,61,75,29.97,280
167,1725,Waverly,us,37.04,-77.1,83.89,45,1,8.05,230
168,549,Canguaretama,br,-6.38,-35.14,80.6,78,20,10.29,130
169,341,Piracanjuba,br,-17.3,-49.02,74.68,48,0,5.64,124.502
170,275,Bonito,br,-1.36,-47.3,80.62,74,88,9.44,61.002
171,2235,Strezhevoy,ru,60.73,77.6,33.8,69,0,6.71,310
172,314,Outjo,na,-20.11,16.16,51.01,44,0,5.19,104.002
173,1455,Pacifica,us,37.61,-122.49,62.44,63,90,12.75,210
174,1301,Ajmer,in,26.47,74.64,79,30,0,5.41,223.502
175,452,Lobito,ao,-12.35,13.55,63.25,96,0,1.5,322.502
176,691,Aitape,pg,-3.15,142.36,79.63,100,36,4.41,140.002
177,2188,Severnoye,ru,54.09,52.54,41.56,83,0,12.68,9.50201
178,1607,South Yuba City,us,39.12,-121.64,60.01,82,90,10.29,170
179,281,Otjiwarongo,na,-20.46,16.65,50.2,54,0,4.74,105.502
180,828,Oume,ci,6.38,-5.42,86,70,75,4.7,240
181,762,Kudahuvadhoo,mv,2.67,72.89,79.72,100,80,11.45,251.002
182,651,Wewak,pg,-3.55,143.63,77.47,95,68,2.39,170.002
183,2073,Lunino,ru,53.59,45.22,49.12,50,0,13.02,32.502
184,284,Chiredzi,zw,-21.05,31.67,63.97,72,0,4.63,73.502
185,1624,Colares,pt,38.8,-9.45,62.64,77,20,9.17,310
186,2407,Kjopsvik,no,68.1,16.37,46.4,81,75,17.22,250
187,1613,Hays,us,38.88,-99.33,87.8,45,1,6.93,140
188,2097,Mnogovershinnyy,ru,53.94,139.92,36.61,76,0,2.73,284.002
189,2339,Raahe,fi,64.68,24.47,55.4,62,0,9.17,220
190,1434,Mehran,ir,33.12,46.17,68,45,0,4.7,340
191,1408,Estacion Coahuila,mx,32.19,-115,87.8,11,5,8.05,280
192,744,Cururupu,br,-1.82,-44.87,78.28,93,68,4.74,82.002
193,1746,Shepsi,ru,44.04,39.15,70.09,99,0,4.52,204.002
194,2361,Barrow,us,39.51,-90.4,83.61,51,40,5.82,170
195,1552,Trinidad,us,37.17,-104.5,80.94,14,1,4.07,90.502
196,1491,Linxia,cn,35.6,103.21,35.89,99,92,1.39,309.502
197,44,Waipawa,nz,-39.94,176.59,46.78,77,8,11.79,210.502
198,2143,Atagay,ru,55.1,99.39,39.76,80,68,3.29,267.002
199,1852,Yashkul,ru,46.17,45.34,75.4,50,8,13.02,322.502
200,1781,Saint Andrews,ca,45.08,-67.06,76.93,35,56,12.46,261.002
201,1857,Atasu,kz,48.68,71.64,57.94,52,0,12.24,217.502
202,1684,Gravina In Puglia,it,40.82,16.42,69.85,82,0,8.05,350
203,1074,Suwannaphum,th,15.61,103.81,76.12,91,92,5.53,176.002
204,1467,Elizabeth City,us,36.3,-76.22,83.53,54,20,11.41,210
205,1918,Bulgan,mn,48.81,103.53,35.44,58,92,7.09,296.502
206,658,San Patricio,mx,19.22,-104.7,86,62,5,11.41,240
207,587,Beberibe,br,-4.18,-38.13,82.4,74,75,8.05,70
208,2059,Claremorris,ie,53.72,-9,55.4,82,20,11.41,330
209,2066,Polczyn-Zdroj,pl,53.76,16.1,61.54,74,76,4.97,36.502
210,708,Buchanan,lr,5.88,-10.05,79.36,100,88,7.65,235.502
211,2434,Saskylakh,ru,71.97,114.09,32.92,92,0,8.43,219.502
212,67,Launceston,au,-41.43,147.14,42.8,93,90,6.93,200
